Basin Selected: Bear River
NVIDIA GeForce RTX 2080 Ti

Lag: 3
Stop at: 0.95
Train / test split %: 0.75
Will run for (epochs): 100

Training started at 2022-07-17 01:50:47
epoch 0 train:	 [0.07]
epoch 1 train:	 [0.11]
epoch 2 train:	 [0.13]
epoch 3 train:	 [0.15]
epoch 4 train:	 [0.16]
epoch 5 train:	 [0.18]
epoch 6 train:	 [0.19]
epoch 7 train:	 [0.21]
epoch 8 train:	 [0.22]
epoch 9 train:	 [0.23]
epoch 10 train:	 [0.24]
epoch 11 train:	 [0.25]
epoch 12 train:	 [0.26]
epoch 13 train:	 [0.27]
epoch 14 train:	 [0.28]
epoch 15 train:	 [0.29]
epoch 16 train:	 [0.3]
epoch 17 train:	 [0.31]
epoch 18 train:	 [0.32]
epoch 19 train:	 [0.32]
epoch 20 train:	 [0.33]
epoch 21 train:	 [0.34]
epoch 22 train:	 [0.34]
epoch 23 train:	 [0.35]
epoch 24 train:	 [0.36]
epoch 25 train:	 [0.36]
epoch 26 train:	 [0.37]
epoch 27 train:	 [0.38]
epoch 28 train:	 [0.38]
epoch 29 train:	 [0.39]
epoch 30 train:	 [0.39]
epoch 31 train:	 [0.4]
epoch 32 train:	 [0.4]
epoch 33 train:	 [0.41]
epoch 34 train:	 [0.41]
epoch 35 train:	 [0.41]
epoch 36 train:	 [0.42]
epoch 37 train:	 [0.42]
epoch 38 train:	 [0.43]
epoch 39 train:	 [0.43]
epoch 40 train:	 [0.44]
epoch 41 train:	 [0.44]
epoch 42 train:	 [0.44]
epoch 43 train:	 [0.45]
epoch 44 train:	 [0.45]
epoch 45 train:	 [0.46]
epoch 46 train:	 [0.46]
epoch 47 train:	 [0.46]
epoch 48 train:	 [0.47]
epoch 49 train:	 [0.47]
epoch 50 train:	 [0.47]
epoch 51 train:	 [0.48]
epoch 52 train:	 [0.48]
epoch 53 train:	 [0.48]
epoch 54 train:	 [0.49]
epoch 55 train:	 [0.49]
epoch 56 train:	 [0.49]
epoch 57 train:	 [0.49]
epoch 58 train:	 [0.5]
epoch 59 train:	 [0.5]
epoch 60 train:	 [0.5]
epoch 61 train:	 [0.5]
epoch 62 train:	 [0.51]
epoch 63 train:	 [0.51]
epoch 64 train:	 [0.51]
epoch 65 train:	 [0.51]
epoch 66 train:	 [0.52]
epoch 67 train:	 [0.52]
epoch 68 train:	 [0.52]
epoch 69 train:	 [0.52]
epoch 70 train:	 [0.53]
epoch 71 train:	 [0.53]
epoch 72 train:	 [0.53]
epoch 73 train:	 [0.54]
epoch 74 train:	 [0.54]
epoch 75 train:	 [0.54]
epoch 76 train:	 [0.54]
epoch 77 train:	 [0.55]
epoch 78 train:	 [0.55]
epoch 79 train:	 [0.55]
epoch 80 train:	 [0.55]
epoch 81 train:	 [0.56]
epoch 82 train:	 [0.56]
epoch 83 train:	 [0.56]
epoch 84 train:	 [0.56]
epoch 85 train:	 [0.57]
epoch 86 train:	 [0.57]
epoch 87 train:	 [0.57]
epoch 88 train:	 [0.57]
epoch 89 train:	 [0.58]
epoch 90 train:	 [0.58]
epoch 91 train:	 [0.58]
epoch 92 train:	 [0.58]
epoch 93 train:	 [0.59]
epoch 94 train:	 [0.59]
epoch 95 train:	 [0.59]
epoch 96 train:	 [0.59]
epoch 97 train:	 [0.59]
epoch 98 train:	 [0.6]
epoch 99 train:	 [0.6]
Training time 6.51519 (minutes)

R²	[-0.519]
KGE	[0.451]
r	[0.851]
α	[0.521]
β	[0.775]
NSE	[58.7]
